"DPNOM","Reported","Estimated","Ratio"
"Caldas",0.0203691846372496,0.035,1.71828183716272
"Boyacá",0.0185168810038128,0.0334,1.80375949886607
"Risaralda",0.0221549119965645,0.0329,1.48499799977096
"Quindio",0.019562581798519,0.031,1.58465791066223
"Antioquia",0.0178456273992957,0.029,1.62504793757739
"Chocó",0.0124079413060626,0.0258,2.07931351088789
"Bogotá, D.C.",0.0176862819149882,0.0248,1.40221670779675
"Norte de Santander",0.0131255222841009,0.024,1.82849866698801
"Tolima",0.012595192146795,0.0233,1.84991223067041
"Valle del Cauca",0.0121322166565485,0.0213,1.75565608519718
"Huila",0.0113755485379655,0.0212,1.86364639289664
"Cundinamarca",0.0114390857228843,0.0209,1.82706909505791
"Santander",0.012704869340106,0.0204,1.60568357327394
"Caquetá",0.0101845059303875,0.0199,1.95394849156349
"Guaviare",0.0107147676307881,0.0187,1.74525483373685
"Cauca",0.0092209235988308,0.0168,1.82194330317738
"Nariño",0.00858072158195238,0.0165,1.92291520502239
"Cesar",0.00838150526828995,0.0163,1.94475806889585
"Meta",0.00804962361078172,0.016,1.98767057612104
"Magdalena",0.00776153077189968,0.0154,1.98414468132435
"Sucre",0.00812167728922474,0.0147,1.80997095507635
"Guainía",0.00530610119015246,0.0143,2.69501079748332
"Amazonas",0.00622758540446651,0.0142,2.28017748095683
"Arauca",0.00743719107323888,0.0142,1.9093230038281
"Bolívar",0.00762239488923707,0.0141,1.84981232340893
"Vaupés",0.00504590145393555,0.0141,2.79434708123416
"Atlántico",0.00727888099656152,0.0134,1.84094231054609
"Putumayo",0.00601958871235067,0.0133,2.20945327588773
"Córdoba",0.00560922056493171,0.0126,2.24630139858895
"La Guajira",0.00542251667507159,0.0121,2.23143619928845
"Casanare",0.0036461996502916,0.0104,2.85228484380121
"Archipiélago de San Andrés",0.00452365918247975,0.0097,2.14428178797562
"Vichada",0.00274647916322905,0.0081,2.94923045783343
